role,company,location,date_posted,min_experience,employment_type,category,remote,details,tags,ad_link
Product Specialist,INTER CARS GREECE ΜΟΝ. ΕΠΕ,Ελληνικό,πριν 7 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Προμήθειες / Αγορές,,"['Inter Cars Greece Single Member Liability Company is a subsidiary of Inter Cars S.A., the biggest importer and distributor of automotive spare parts and garage equipment in Middle and Eastern Europe. With over 200 branches in Poland and more than 190 branches in Europe, Inter Cars Greece values passion and involvement, partnership, reliability, loyalty, and leadership by example.', 'Inter Cars Greece is interested in appointing a Product Specialist for the LKW Segment in the Athens Metropolitan Area. The right candidate will contribute to the team and help achieve the corporate goals.', 'Responsibilities', 'Responsibilities', 'Analyze the market in terms of competition, product mix, pricing, market sharing facilitating advanced excel functions and skills.', 'Support the growth plan of the purchasing department.', 'Play an integral part of the team that has as a major objective to multiply the segment size.', 'Handling the cycle of supplies and equipment.', 'Develop and maintain professional relationships with all suppliers. Maintain quality of purchasing procedures.', 'Ensure compliance with all purchasing policies. Evaluate all quotes and coordinate with vendors to provide required component bids and analyze all vendor performance to improve all purchasing process.', 'Design and implement various purchasing strategies and procurement. Participate in all supplier selection and pricing reduction programs in coordination with global supply chain team. Determine appropriate programs for all purchase requirements and assist in reducing supply chain costs.', 'Provide network support, execute and check if the purchasing processes have been followed and provide an effective interface with all departments and branches. Ensure that there is an efficient ABC analysis and keep stocks of the shop under close supervision.', 'Coordinate with all internal departments in terms of priorities to ensure efficiencies, scale economies and effectiveness of the purchasing system.', 'Requirements', 'Requirements', 'BSc in Engineering, Business Administration or related field. MSc will be considered as a strong asset.', 'Advanced excel skills are essential.', 'Strong presentation, verbal and written communication skills (English and Greek).', 'Strong technical skills, analytical ability and attention to detail.', '3-5 years’ work experience in a similar role required.', 'Strong communication and interpersonal skills.', 'Ability to work as a team member and independently when required.', 'Office 365 strong knowledge required.', 'Benefits', 'Benefits', 'Competitive remuneration package', 'Skills development scheme', 'Career advancement in a multinational corporate environment', 'Additional private health insurance scheme', 'Due to the high volume of applications only high final candidates will be conducted. Inter Cars promotes privacy and confidentiality and aims to protect candidates’ personal data, in accordance with General Data Protection Regulation (Reg. 2016/679) requirements and national legislation.']","['excel', 'analytics', 'data scientist', 'data analytics', 'purchase', 'procurement', 'procurementbuyer', 'excel expert', '#excel', 'εμπορικό τμήμα']",https://www.kariera.gr/en/jobs/procurement-or-supply-chain-jobs/225171?sponsored
Product Manager (Energy),Volton Ελληνική Ενεργειακή Α.Ε.,Μεταμόρφωση,πριν 16 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Μάρκετινγκ / Διαφήμιση,Εργασία από απόσταση κάποιες ημέρες,"['Volton Hellenic Energy SA is a Greek company that is dynamically active and is rapidly increasing its capacity in the field of Electricity Supply and Trading, in the Gas Energy Sector and in the field of Telecommunications (through Orizon).', 'Volton', ""By offering reliable services that meet the ever-growing energy needs of businesses and households, Volton aims to build solid and trustful relationships with its customers. The company's ambition is to become one of the most important companies in the industry and remain at the forefront of developments as the first multiservice provider combining Electricity, Natural Gas and Telecommunications."", ', Volton', 'As part of its development Volton strengthens its human resources in Athens and seeks a Product Manager (Energy).', 'Volton', 'Athens', 'Product Manager (Energy).', 'The Product Manager plays a critical role in driving the development and optimization of Volton’s energy product portfolio, encompassing electricity and natural gas. This role aligns with our mission to deliver innovative, sustainable, and customer-focused energy solutions, ensuring Volton remains a leader in the electrical energy supply industry. By blending strategic vision with hands-on execution, the Product Manager contributes to achieving business growth and customer satisfaction.', 'Product Manager', 'Volton’s', 'Volton', 'Product Manager', 'Oversee the full lifecycle of energy products, from conceptualization and design to implementation and market introduction', 'Develop strategies for product enhancements based on customer feedback, competitive analysis, and market trends', 'Conduct periodic SWOT analysis to inform strategic decisions', 'Analyze market situation, trends, regulatory developments, and competitor offerings to identify opportunities for innovation and differentiation', 'Deploy go-to-market strategies and tactics within agreed timelines and budgets', 'Cooperate cross-functionally with Legal, Sales, MarCom, Operations, CX, Customer Care and Technical teams for successful product launches', 'Collaborate with external partners and vendors to support product development initiatives', 'Define and track key performance indicators (KPIs) to measure product success, such as market share, revenue growth, and customer satisfaction', 'Responsible for P&L and financial analysis for the assigned portfolio', 'Increase customer retention rates through product innovations and contribute to the achievement of annual revenue and growth targets', 'Prepare detailed reports and presentations for senior leadership on product performance and future initiatives', 'Act as an ambassador of the products within the organization', 'Bachelor’s degree in Business Administration, Engineering, or a related field; A Master’s degree will be a plus', '5 years of experience in product management, experience within the energy sector will be strongly appreciated', 'Certifications in Product Management are a plus', 'Solid understanding of energy markets, particularly electricity and natural gas', 'Proficiency in data analysis tools (e.g., Excel, Tableau) and project management software (e.g. Jira)', 'Strong leadership and team management capabilities', 'Excellent communication skills to convey complex concepts to diverse audiences', 'Critical thinking and problem-solving abilities', 'Customer-centric approach with a focus on delivering value', 'Innovative mindset to drive product differentiation', 'Strong organizational skills with attention to detail', 'A competitive fixed salary package aligned with your experience and expectations', 'Hybrid working model', 'Private insurance, corporate benefits and perks', 'Continuous training and professional development', 'Excellent professional environment', 'Modern and productive working facilities', 'Don’t miss the chance to join a Great Place to Work-Certified Company that fosters a positive work environment, proudly recognized as a Best Workplace for Women 2025.', 'Great Place to Work-Certified Company', 'Best Workplace for Women 2025', 'All applications will be treated with confidentiality. If your CV meets the requirements of the job, we will contact you by phone to schedule an appointment. Information about the company on our site volton.gr', 'volton.gr']","['reporting', 'data analysis', 'product marketing', 'product manager', 'product manager, product management, category management, marketing', 'energy']",https://www.kariera.gr/en/jobs/marketing-or-advertising-jobs/222723?sponsored
Data Entry Specialist,ΛΑΚΙΩΤΗΣ Α.Ε.,Ασπρόπυργος,πριν 8 μέρες,Entry / Αρχάριος,Πλήρης απασχόληση,Μάρκετινγκ / Διαφήμιση,,"['Η εταιρία Λακιώτης, στο πλαίσιο της δυναμικής της ανάπτυξης, αναζητά νέα μέλη για να ενισχύσουν την ομάδα της. Αν είσαι φιλόδοξος/η, με όρεξη για εξέλιξη και θέλεις να γίνεις μέρος μιας αναπτυσσόμενης και καινοτόμου εταιρείας, αυτή είναι η ευκαιρία σου!', 'Η εταιρία Λακιώτης, στο πλαίσιο της δυναμικής της ανάπτυξης, αναζητά νέα μέλη για να ενισχύσουν την ομάδα της. Αν είσαι φιλόδοξος/η, με όρεξη για εξέλιξη και θέλεις να γίνεις μέρος μιας αναπτυσσόμενης και καινοτόμου εταιρείας, αυτή είναι η ευκαιρία σου!', 'Data Entry specialist', 'Data Entry specialist', 'Μια τυπική ημέρα στην εργασία περιλαμβάνει:', 'Μια τυπική ημέρα στην εργασία περιλαμβάνει:', 'Καθημερινή ενημέρωση και διαχείριση της κεντρικής βάσης δεδομένων του συστήματος ERP για τα προϊόντα της εταιρίας', 'Ηλεκτρονική καταχώριση δεδομένων σε καθημερινή βάση', 'Συγχρονισμός ενημέρωσης των αντίστοιχων προϊοντικών σελίδων στην εταιρική ιστοσελίδα', 'Διαχείριση περιεχομένου', 'Ανάλυση δεδομένων και παραγωγή αναφορών', 'Τι χρειάζεται να φέρεις μαζί σου:', 'Τι χρειάζεται να φέρεις μαζί σου:', 'Πτυχίο ΙΕΚ / ΤΕΙ / ΑΕΙ .', 'Άριστη γνώση και χρήση ηλεκτρονικών συστημάτων.', 'Εξοικείωση στη γρήγορη και ακριβή πληκτρολόγηση', 'Ικανότητα αρίστης διαχείρισης χρόνου.', 'Μεθοδικότητα, αντίληψη και προσοχή στη λεπτομέρεια', 'Γνώση συστημάτων ERP και πιο συγκεκριμένα SAP θα εκτιμηθεί.', 'Εμείς θα σου παρέχουμε:', 'Εμείς θα σου παρέχουμε:', 'Πλήρη απασχόληση', 'Ανταγωνιστικό μισθό', 'Δυναμικό, σύγχρονο και φιλικό εργασιακό περιβάλλον', 'Η Λακιώτης Α.Ε. είναι μία από τις κορυφαίες ελληνικές εταιρίες στον χώρο των ειδών υγιεινής και πλακιδίων, με ηγετική παρουσία στην αγορά από το 1978. Με έμφαση στην καινοτομία, την ποιότητα και την εξυπηρέτηση, παρέχουμε λύσεις υψηλών προδιαγραφών για ιδιώτες, επαγγελματίες και μεγάλα έργα. Επενδύουμε στη βιωσιμότητα, την τεχνολογία και τη συνεχή εξέλιξη, δημιουργώντας ένα εργασιακό περιβάλλον ανάπτυξης και δημιουργικότητας.', 'Γίνε μέλος μιας δυναμικής ομάδας που σχεδιάζει το μέλλον με σεβασμό στον άνθρωπο και το περιβάλλον!']",[],https://www.kariera.gr/en/jobs/marketing-or-advertising-jobs/224957?sponsored
German Tax Advisor,Hemmersbach Hellas,Αθήνα,πριν ένα μήνα,Με κάποια εμπειρία,Πλήρης απασχόληση,Οικονομικά,Εργασία από απόσταση κάποιες ημέρες,"['Hemmersbach provides IT infrastructure services in more than 190 countries with 50 own subsidiaries. We deliver exclusively for the leading companies in the IT industry. We go the extra mile – we not only simply enthuse our customers, but also make the world a better place: 20% of our profits go into our Direct Actions Hemmersbach Rhino Force and Hemmersbach Kids’ Family. That’s why Hemmersbach is The Social Purpose IT Company.', 'Hemmersbach', 'Role:', 'Role:', 'Ensure timely and accurate filing of VAT returns for German entities.', 'Monitor and implement changes in VAT legislation.', 'Provide guidance and support to internal teams on VAT-related matters.', 'Act as the point of contact for external auditors and tax consultants.', 'Ensure compliance with German financial and tax regulations.', 'Stay updated on legislative changes and their impact on the organization.', 'Prepare and review monthly financial statements in accordance with local accounting standards.', 'Reconcile general ledger accounts and ensure timely reporting.', 'Support strategic decision-making with expert tax advice.', 'Work with the finance team to streamline monthly closing procedures.', 'Requirements:', 'Requirements:', 'Strong communication skills, both written and verbal, in German.', 'Certified Accountant (Bilanzbuchhalter) or equivalent professional qualification (Steuerfachwirt / Steuerberater).', 'Proven experience in VAT compliance and monthly financial closings, preferably for German entities.', 'Proficiency in accounting software and reporting tools (e.g., DATEV or MS Dynamics).', 'Strong knowledge of German (HGB) and tax regulations.', 'Ability to manage deadlines and work in a dynamic, fast-paced environment.', 'Benefits', 'Benefits', 'Buddy program.', 'International environment.', 'Job with purpose.', 'Mobile working.', 'Staff discounts.', 'Unlimited employment contract.', 'Private Life and Health Insurance.', 'Joining Hemmersbach, you will support our commitment to social responsibility. We prioritize 20% of our profits into our company owned organizations such as:', 'Rhino-force.org: providing environmental protection for an endangered species', 'Kids-family.org: taking care of children without parents in Poland and India, turning their shelters into homes.']","['german tax advisor financial data vat legislation external auditors tax consultant tax regulation', 'local accounting standards financial statement tax advices', 'bilanzbuchhalter steuerfachwirt / steuerberater vat compliance monthly financial closings', 'accounting software reporting tools datev ms dynamics']",https://www.kariera.gr/en/jobs/finance-jobs/219937?sponsored=&origin=pjp
MSC Service Center Greece: Data Processing Specialist,MSC - MEDITERRANEAN SHIPPING COMPANY,Πειραιάς,πριν 25 μέρες,Entry / Αρχάριος,Πλήρης απασχόληση,Άλλη κατηγορία,,"['Your Role: Join our vibrant team, where your role goes beyond mere data entry. You will engage in extensive communication with MSC Agencies all around the world and our Headquarters, becoming a vital link in our global network.', 'Your Role:', 'Skills & Requirements:', 'Skills & Requirements:', 'Oral and written English proficiency', 'Microsoft Office 365 knowledge', 'Eagerness to work in a collaborative, team-oriented environment', 'Flexibility to work in shifts, adapting to global time zones', ""Your Growth Path: At MSC, we don't just offer a job; we promise a career path filled with learning and development opportunities. From comprehensive initial training to ongoing educational initiatives, we are committed to your professional development. Our induction classes are designed to seamlessly integrate you into our way of life at MSC."", 'Your Growth Path:', ""By joining MSC, you become part of a family of over 150,000 employees worldwide. At MSC, the world's leading shipping company, the possibilities are endless. We offer a vibrant, multicultural environment where your ideas are valued, and your personal growth is as much a priority as professional development."", 'Take the leap – join MSC Service Center Greece and shape your future with us!']",[],https://www.kariera.gr/en/jobs/other-jobs/220709
Data Engineer – Cyprus or Greece,XM,Αθήνα,πριν 2 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,Εργασία από απόσταση κάποιες ημέρες,"['Data Engineer – Cyprus or Greece', 'Data Engineer – Cyprus or Greece', 'The Role:', 'The Role:', 'We are seeking for skilled and motivated Data Engineers to join our dynamic Business Intelligence (BI) and Data Science (DS) teams. The successful candidates will work with leading experts on cutting-edge projects relating to the definition and development of efficient big data structures, data cleansing techniques and design and optimisation of data infrastructure and pipelines.', 'The main responsibilities of the position include:', 'The main responsibilities of the position include:', 'Understand data requirements and develop efficient data models and structures.', 'Design, build, and maintain scalable and reliable data structures, pipelines and processes.', 'Execute queries in both relational and non-relational databases.', 'Collaborate with cross-functional teams to define and enforce data governance policies and data security best practices.', 'Monitor, troubleshoot and resolve issues regarding data quality, data pipeline failures, and data infrastructure.', 'Stay up to date with emerging trends and technologies in the data engineering and data management field and recommend innovative solutions to enhance our data infrastructure and processes.', 'Main requirements:', 'Main requirements:', 'BSc/MSc in Computer Science, Physics/Science, Engineering. Mathematics or other relevant field', 'Experience in data manipulation and big-data processing frameworks is a plus.', 'Good knowledge of SQL and experience with relational databases is a plus.', 'Familiarity with ETL processes, data warehousing concepts, and related technologies is a plus.', 'Programming experience with Python or any high-level programming language is a plus.', 'Experience with Unix/Linux is a plus.', 'Good knowledge of data visualisation techniques.', 'Self-motivated and passionate for working with data.', 'Eagerness for continuous professional development.', 'Excellent problem-solving and analytical skills with attention to detail.', 'Strong communication and collaboration skills to work effectively in a team environment.', 'Excellent verbal and written communication skills in English.', 'Benefit from:', 'Benefit from:', 'Attractive remuneration package', 'Private health insurance', 'Corporate pension fund', 'Intellectually stimulating work environment', 'Continuous personal development and international training opportunities', 'Type of employment: Full time', 'Location: Cyprus or Greece', 'Please visit our website www.xm.com/careers to submit your online application for this position.', 'All applications will be treated with strict confidentiality!', 'All applications will be treated with strict confidentiality!']",[],https://www.kariera.gr/en/jobs/it-jobs/226263?origin=pjp
Lead Data Scientist - Cyprus or Greece,XM,Αθήνα,πριν 2 μέρες,Με μεγάλη εμπειρία,Πλήρης απασχόληση,Άλλη κατηγορία,Εργασία από απόσταση κάποιες ημέρες,"['Lead Data Scientist – Cyprus or Greece', 'The Role:', 'The Role:', 'We are seeking a Lead Data Scientist with expertise in behavioral analytics to drive data-driven strategies for client onboarding, engagement, retention, and personalization. You will analyze customer behavior, develop predictive models, and deliver insights that enhance the client journey.', 'As a key leader, you will collaborate across teams, mentor data scientists, and shape customer-centric analytics. Your work will fuel growth, optimize user experiences, and drive impactful business decisions.', 'Join us to transform client engagement through the power of data!', 'The main responsibilities of the position include:', 'The main responsibilities of the position include:', 'Client Acquisition: Utilise advanced analytics, and predictive modeling to drive client acquisition strategies.', 'Client Acquisition:', 'Client Onboarding Optimization: Analyse user behavior during onboarding to identify friction points and improve the overall user experience.', 'Client Onboarding Optimization', 'Client Segmentation: Develop and refine data-driven segmentation models to categorize clients based on behavior, demographics, and engagement.', 'Client Segmentation', 'Churn Prediction: Build predictive models to identify at-risk customers and collaborate with business teams to develop effective retention strategies.', 'Churn Prediction', 'Recommendation Systems: Design and implement personalized recommendation algorithms to enhance client engagement and drive cross-sell and upsell opportunities.', 'Recommendation Systems', 'Machine Learning & AI Implementation: Leverage advanced machine learning techniques (supervised, unsupervised, and deep learning) to extract meaningful insights from client behavior data.', 'Machine Learning & AI Implementation', 'A/B Testing & Experimentation: Design, execute, and analyze A/B tests to optimize processes and improve decision-making.', 'A/B Testing & Experimentation', 'Data-Driven Decision-Making: Work closely with product, marketing, and business teams to integrate data-driven insights into strategic initiatives.', 'Data-Driven Decision-Making', 'Big Data Processing: Manage large-scale datasets, ensuring data quality, efficient feature engineering, and seamless data pipeline integration.', 'Big Data Processing', 'Leadership: Mentor and guide multiple teams, fostering innovation and technical excellence.', 'Leadership', 'Stakeholder Communication: Present insights and model outcomes to non-technical stakeholders, translating complex data into actionable recommendations.', 'Stakeholder Communication', 'Main requirements:', 'Main requirements:', 'PhD or MSc in Data Science, Physics, Mathematics Computer Science or a related field', '8+ years of experience in data science, with a focus on client behaviour analytics. Experience within the fintech or e-commerce industry will be considered an advantage.', 'Hands-on experience with recommender systems (collaborative filtering, content-based filtering, hybrid models).', 'Strong experience with machine learning, deep learning, and statistical modelling.', 'Proficiency in Python (Pandas, NumPy, Scikit-learn, TensorFlow/PyTorch) and SQL.', 'Proven experience with big data analytics.', 'Experience with NLP/AI tools for customer interaction analysis.', 'Strong analytical and problem-solving skills', 'Effective communication skills to convey data-driven insights.', 'Proven leadership, team coaching, and management skills', 'Fluency in English.', 'Benefit from:', 'Benefit from:', 'Attractive remuneration package', 'Private health insurance', 'Corporate pension fund', 'Intellectually stimulating work environment', 'Continuous professional development and international training opportunities', 'Type of employment: Full time', 'Location: Cyprus or Greece', 'Please visit our website www.xm.com/careers to submit your online application for this position.', 'All applications will be treated with strict confidentiality!', 'All applications will be treated with strict confidentiality!']",[],https://www.kariera.gr/en/jobs/other-jobs/226257?origin=pjp
OPERATIONS SUPPORT ASSOCIATE & DATA ENTRY,NATIONS S.A.,Αθήνα,πριν μία μέρα,Entry / Αρχάριος,Εποχιακός/ή,Γραμματειακή Υποστήριξη / Υπάλληλος Γραφείου,,"['Ψάχνουμε για δυναμικά άτομα για να ενταχθούν στην ομάδα μας από 26/05/2025-31/10/2025!', 'Ψάχνουμε για δυναμικά άτομα για να ενταχθούν στην ομάδα μας από 26/05/2025-31/10/2025!', 'Είστε οργανωμένοι, με άριστες δεξιότητες επικοινωνίας και σας αρέσει να επιλύετε προβλήματα;', 'Είστε οργανωμένοι, με άριστες δεξιότητες επικοινωνίας και σας αρέσει να επιλύετε προβλήματα;', 'Τότε ψάχνουμε για εσάς!', 'Τότε ψάχνουμε για εσάς!', 'Η εταιρεία μας δραστηριοποιείται στον τομέα της παροχής επιβατικών μεταφορών με οδηγό και αναζητά ενθουσιώδη άτομα για να ενταχθούν στην ομάδα μας ως Υπάλληλοι Εισαγωγής Δεδομένων, Συντονισμού, Ελέγχου και Υποστήριξης Οδηγών.', 'ενθουσιώδη άτομα', 'Υπάλληλοι Εισαγωγής Δεδομένων, Συντονισμού, Ελέγχου και Υποστήριξης Οδηγών', 'Περιγραφή θέσης:', 'Περιγραφή θέσης:', 'Εισάγετε δεδομένα σε διάφορα συστήματα, με ακρίβεια και συνέπεια.', 'Εισάγετε δεδομένα', 'Παρέχετε υποστήριξη στους οδηγούς όσον αφορά τη χρήση της πλατφόρμας.', 'Παρέχετε υποστήριξη', 'Απαντάτε σε ερωτήσεις και επιλύετε τυχόν προβλήματα που αντιμετωπίζουν οι οδηγοί.', 'Απαντάτε', 'επιλύετε', 'Απαιτούμενα προσόντα:', 'Απαιτούμενα προσόντα:', 'Πολύ καλή χρήση της αγγλικής γλώσσας (δίπλωμα επιπέδου Β2)', 'Πολύ καλή χρήση της αγγλικής γλώσσας (δίπλωμα επιπέδου Β2)', 'Καλή χρήση του Microsoft365 (Excel, Word, Outlook, Onedrive)', 'Καλή χρήση', 'του Microsoft365 (Excel, Word, Outlook, Onedrive)', 'Εάν σας ενδιαφέρει αυτή η θέση, στείλτε μας το βιογραφικό σας σημείωμα', 'Εάν σας ενδιαφέρει αυτή η θέση, στείλτε μας το βιογραφικό σας σημείωμα', 'Περιμένουμε να σας γνωρίσουμε!', 'Περιμένουμε να σας γνωρίσουμε!']","['customer service', 'operation support', 'υπάλληλο γραφείου / γραμματειακή υποστήριξη / αθηνα / data entry', 'back office call center', 'ζητάμε υπάλληλο γραφείου/ back office', 'outlook', 'excel', 'adobe creative', 'support', 'technical support coordinator']",https://www.kariera.gr/en/jobs/administrative-or-secretarial-jobs/226438
Data Scientist (Finance Department),Etraveli Group,Αθήνα,πριν 2 μέρες,Με μεγάλη εμπειρία,Πλήρης απασχόληση,Οικονομικά,,"['Who we are', 'Who we are', 'Etraveli Group is the globally leading company for tech solutions and fulfillment capabilities for online sales of flights. We are here to solve complexity, by connecting millions of flights and travelers across the globe, from search and selection to trip and beyond. We hold consumer online travel agency brands like Mytrip, GoToGate & Flight Network and serve Booking.com with flights. Etraveli Group has also established strategic partnerships with companies like Skyscanner, Google Flights, TUI, etc.', 'Every day we strive to make the world smaller for our customers and bigger for our people. Our diverse team of more than 2500 passionate professionals is what makes us the industry’s tech wonder and the best in the world at what we do. Our major offices are in Sweden (HQ), Canada, Greece, India, Poland with the Athens office being one of the largest, hosting around 640 employees working from the center of Athens for the rest of the world.', 'Job Overview:', 'Job Overview:', 'We are seeking a talented and passionate Data Scientist to join our finance automation team. As a Data Scientist, you will play a crucial role in extracting valuable insights from complex datasets, developing predictive models, and providing data-driven recommendations to solve critical business challenges. You will collaborate closely with cross-functional teams, including product, finance, and other business stakeholders, to drive innovation and improve decision-making across the organization.', 'Responsibilities:', 'Responsibilities:', 'Data Exploration and Preprocessing:', 'Collect, clean, and transform large and complex datasets from various sources.', 'Identify and handle missing data, outliers, and inconsistencies.', 'Perform exploratory data analysis (EDA) to understand data patterns, distributions, and relationships.', 'Engineer new features to improve the performance of machine learning models.', 'Model Development and Deployment:', 'Design, develop, and evaluate machine learning models for tasks such as classification, regression, clustering, forecasting, and anomaly detection.', 'Utilize a variety of statistical and machine learning techniques (e.g., deep learning, natural language processing, time series analysis).', 'Implement and deploy models into production environments, ensuring scalability and reliability.', 'Monitor model performance and retrain models as needed.', 'Data-Driven Insights and Communication:', 'Analyze model outputs and business data to identify actionable insights and trends.', 'Visualize data and present findings in a clear, concise, and compelling manner to both technical and non-technical audiences.', 'Communicate effectively with stakeholders to understand their needs and translate business questions into data science problems.', 'Document methodologies, algorithms, and results clearly and comprehensively.', 'Collaboration and Innovation:', 'Collaborate with data engineer to build and maintain data pipelines and infrastructure.', 'Work closely with product managers and business stakeholders to identify opportunities for leveraging data science to drive business value.', 'Stay up to date with the latest advancements in data science, machine learning, and artificial intelligence.', 'Contribute to the development of best practices and standards within the data science team.', 'Experiment with new tools and techniques to improve data science workflows and outcomes.', 'Requirements', 'Education:', ""Bachelor's degree in a quantitative field such as Computer Science, Statistics, Mathematics, Physics, Economics, or a related discipline. A Master's or Ph.D. degree is preferred."", 'Experience:', '5+ years of experience in a data science role or equivalent experience involving data analysis, statistical modeling, and machine learning.', 'Proven experience in developing and deploying machine learning models in a real-world setting.', 'Technical Skills:', 'Strong proficiency in at least one programming language commonly used in data science (e.g., Python, R).', 'Experience with relevant data science libraries and frameworks (e.g., scikit-learn, TensorFlow, PyTorch, pandas, NumPy).', 'Solid understanding of statistical concepts and machine learning algorithms.', 'Experience with database systems and SQL.', 'Familiarity with data visualization tools (e.g., Looker, Tableau, Power BI, Matplotlib, Seaborn).', 'Experience with cloud platforms (e.g., AWS, Azure, GCP, databricks) and their data science services is a plus.', 'Soft Skills:', 'Strong analytical and problem-solving skills.', 'Excellent communication and presentation skills.', 'Ability to work independently and collaboratively in a team environment.', 'Strong business acumen and the ability to translate data insights into business recommendations.', 'Curiosity and a passion for learning and exploring new technologies.', 'Benefits', 'We are looking for people who would make the world smaller for travelers but want a bigger world of opportunities for themselves. With us you can enjoy:', 'We are looking for people who would make the world smaller for travelers but want a bigger world of opportunities for themselves. With us you can enjoy:', 'Health Benefits - Through partners, we offer a private health insurance plan. We also offer the possibility to use 2 extra medical leave days in case of need.', 'Health Benefits', 'Monthly ticket restaurant card - to spend in one of the thousands affiliated restaurants, cafes, stores or supermarkets across Greece.', 'Monthly ticket restaurant card', 'Hybrid working environment - having the opportunity to work both remotely and at the office enabling you flexibility! #LI-Hybrid', 'Hybrid working environment', 'Office in the City – We sit on bright, large floors (over 4000㎡!) in central Athens. Just a short walk from the Ambelokipi Metro station.', 'Team activities - We also like to schedule company/department/team activities and events outside the office space!', 'Team activities', 'Fun & Work - We have a relaxed work environment where you can enjoy free breakfast, beverages & fruits, playing ping pong or video games.', 'Fun & Work', '*If interested, please send your CV in English*', 'At Etraveli Group we value diversity; we pride ourselves on being a company represented by people of all different backgrounds. During hiring, we are committed to ensure equality and promote diversity in the workplace at every selection stage. As such, we provide the same opportunities for all candidates regardless of race, religion or belief, gender, nationality, ethnicity, sexual orientation, age, marital status, disability, or any other characteristic protected under any anti-discrimination law or regulation.', '#LI-LO1']",[],https://www.kariera.gr/en/jobs/finance-jobs/226248
Data Entry Specialist,ΛΑΚΙΩΤΗΣ Α.Ε.,Ασπρόπυργος,πριν 8 μέρες,Entry / Αρχάριος,Πλήρης απασχόληση,Μάρκετινγκ / Διαφήμιση,,"['Η εταιρία Λακιώτης, στο πλαίσιο της δυναμικής της ανάπτυξης, αναζητά νέα μέλη για να ενισχύσουν την ομάδα της. Αν είσαι φιλόδοξος/η, με όρεξη για εξέλιξη και θέλεις να γίνεις μέρος μιας αναπτυσσόμενης και καινοτόμου εταιρείας, αυτή είναι η ευκαιρία σου!', 'Η εταιρία Λακιώτης, στο πλαίσιο της δυναμικής της ανάπτυξης, αναζητά νέα μέλη για να ενισχύσουν την ομάδα της. Αν είσαι φιλόδοξος/η, με όρεξη για εξέλιξη και θέλεις να γίνεις μέρος μιας αναπτυσσόμενης και καινοτόμου εταιρείας, αυτή είναι η ευκαιρία σου!', 'Data Entry specialist', 'Data Entry specialist', 'Μια τυπική ημέρα στην εργασία περιλαμβάνει:', 'Μια τυπική ημέρα στην εργασία περιλαμβάνει:', 'Καθημερινή ενημέρωση και διαχείριση της κεντρικής βάσης δεδομένων του συστήματος ERP για τα προϊόντα της εταιρίας', 'Ηλεκτρονική καταχώριση δεδομένων σε καθημερινή βάση', 'Συγχρονισμός ενημέρωσης των αντίστοιχων προϊοντικών σελίδων στην εταιρική ιστοσελίδα', 'Διαχείριση περιεχομένου', 'Ανάλυση δεδομένων και παραγωγή αναφορών', 'Τι χρειάζεται να φέρεις μαζί σου:', 'Τι χρειάζεται να φέρεις μαζί σου:', 'Πτυχίο ΙΕΚ / ΤΕΙ / ΑΕΙ .', 'Άριστη γνώση και χρήση ηλεκτρονικών συστημάτων.', 'Εξοικείωση στη γρήγορη και ακριβή πληκτρολόγηση', 'Ικανότητα αρίστης διαχείρισης χρόνου.', 'Μεθοδικότητα, αντίληψη και προσοχή στη λεπτομέρεια', 'Γνώση συστημάτων ERP και πιο συγκεκριμένα SAP θα εκτιμηθεί.', 'Εμείς θα σου παρέχουμε:', 'Εμείς θα σου παρέχουμε:', 'Πλήρη απασχόληση', 'Ανταγωνιστικό μισθό', 'Δυναμικό, σύγχρονο και φιλικό εργασιακό περιβάλλον', 'Η Λακιώτης Α.Ε. είναι μία από τις κορυφαίες ελληνικές εταιρίες στον χώρο των ειδών υγιεινής και πλακιδίων, με ηγετική παρουσία στην αγορά από το 1978. Με έμφαση στην καινοτομία, την ποιότητα και την εξυπηρέτηση, παρέχουμε λύσεις υψηλών προδιαγραφών για ιδιώτες, επαγγελματίες και μεγάλα έργα. Επενδύουμε στη βιωσιμότητα, την τεχνολογία και τη συνεχή εξέλιξη, δημιουργώντας ένα εργασιακό περιβάλλον ανάπτυξης και δημιουργικότητας.', 'Γίνε μέλος μιας δυναμικής ομάδας που σχεδιάζει το μέλλον με σεβασμό στον άνθρωπο και το περιβάλλον!']",[],https://www.kariera.gr/en/jobs/marketing-or-advertising-jobs/224957
